LOCATION,SUBJECT,MEASURE,TIME,Value
AUS,BEEF,KG_CAP,2018,20.48332546
CAN,BEEF,KG_CAP,2018,18.2022118
JPN,BEEF,KG_CAP,2018,6.656651503
KOR,BEEF,KG_CAP,2018,10.35635777
MEX,BEEF,KG_CAP,2018,8.6477878
NZL,BEEF,KG_CAP,2018,13.320955
TUR,BEEF,KG_CAP,2018,8.37278904
USA,BEEF,KG_CAP,2018,26.28019261
DZA,BEEF,KG_CAP,2018,3.862273942
ARG,BEEF,KG_CAP,2018,40.85387359
BGD,BEEF,KG_CAP,2018,0.844814763
BRA,BEEF,KG_CAP,2018,26.41720771
CHL,BEEF,KG_CAP,2018,17.84037703
CHN,BEEF,KG_CAP,2018,4.15608671
COL,BEEF,KG_CAP,2018,11.66153784
EGY,BEEF,KG_CAP,2018,9.280258647
ETH,BEEF,KG_CAP,2018,2.395609212
GHA,BEEF,KG_CAP,2018,0.831063709
HTI,BEEF,KG_CAP,2018,3.440701378
IND,BEEF,KG_CAP,2018,0.526457509
IDN,BEEF,KG_CAP,2018,1.89821218
IRN,BEEF,KG_CAP,2018,3.343052253
ISR,BEEF,KG_CAP,2018,20.03598554
KAZ,BEEF,KG_CAP,2018,17.03531749
MYS,BEEF,KG_CAP,2018,5.469098694
MOZ,BEEF,KG_CAP,2018,0.837092019
NGA,BEEF,KG_CAP,2018,1.631660874
PAK,BEEF,KG_CAP,2018,6.346274026
PRY,BEEF,KG_CAP,2018,25.43783063
PER,BEEF,KG_CAP,2018,4.751382487
PHL,BEEF,KG_CAP,2018,2.942256418
RUS,BEEF,KG_CAP,2018,10.08053794
SAU,BEEF,KG_CAP,2018,3.836211726
ZAF,BEEF,KG_CAP,2018,10.84084274
SDN,BEEF,KG_CAP,2018,0.006201327
TZA,BEEF,KG_CAP,2018,4.101572367
THA,BEEF,KG_CAP,2018,1.785387861
UKR,BEEF,KG_CAP,2018,5.684084704
URY,BEEF,KG_CAP,2018,43.13753805
VNM,BEEF,KG_CAP,2018,10.13068627
ZMB,BEEF,KG_CAP,2018,8.993590409
WLD,BEEF,KG_CAP,2018,6.499636694
SSA,BEEF,KG_CAP,2018,2.985354633
OECD,BEEF,KG_CAP,2018,14.55754847
BRICS,BEEF,KG_CAP,2018,4.482103319
EU28,BEEF,KG_CAP,2018,10.71362136
