LOCATION,SUBJECT,MEASURE,TIME,Value
KOR,SHEEP,THND_TONNE,1990,9.969230841
KOR,SHEEP,THND_TONNE,1991,7.752381293
KOR,SHEEP,THND_TONNE,1992,14.89473722
KOR,SHEEP,THND_TONNE,1993,11.98245621
KOR,SHEEP,THND_TONNE,1994,13.90000024
KOR,SHEEP,THND_TONNE,1995,12.9852943
KOR,SHEEP,THND_TONNE,1996,10.95833333
KOR,SHEEP,THND_TONNE,1997,9.933609962
KOR,SHEEP,THND_TONNE,1998,8
KOR,SHEEP,THND_TONNE,1999,7
KOR,SHEEP,THND_TONNE,2000,6
KOR,SHEEP,THND_TONNE,2001,4.983243349
KOR,SHEEP,THND_TONNE,2002,5.982767227
KOR,SHEEP,THND_TONNE,2003,5.968330982
KOR,SHEEP,THND_TONNE,2004,5.99991
KOR,SHEEP,THND_TONNE,2005,5.99991
KOR,SHEEP,THND_TONNE,2006,5.983605745
KOR,SHEEP,THND_TONNE,2007,5.99991
KOR,SHEEP,THND_TONNE,2008,5.99991
KOR,SHEEP,THND_TONNE,2009,5.99991
KOR,SHEEP,THND_TONNE,2010,4.99991
KOR,SHEEP,THND_TONNE,2011,5.99991
KOR,SHEEP,THND_TONNE,2012,5.99991
KOR,SHEEP,THND_TONNE,2013,5.99991
KOR,SHEEP,THND_TONNE,2014,7.99991
KOR,SHEEP,THND_TONNE,2015,9.99991
KOR,SHEEP,THND_TONNE,2016,10.99991
KOR,SHEEP,THND_TONNE,2017,11.09991
KOR,SHEEP,THND_TONNE,2018,11.19991
ZAF,SHEEP,THND_TONNE,1990,169
ZAF,SHEEP,THND_TONNE,1991,169
ZAF,SHEEP,THND_TONNE,1992,179
ZAF,SHEEP,THND_TONNE,1993,165
ZAF,SHEEP,THND_TONNE,1994,196
ZAF,SHEEP,THND_TONNE,1995,156
ZAF,SHEEP,THND_TONNE,1996,165
ZAF,SHEEP,THND_TONNE,1997,164
ZAF,SHEEP,THND_TONNE,1998,162
ZAF,SHEEP,THND_TONNE,1999,187
ZAF,SHEEP,THND_TONNE,2000,207
ZAF,SHEEP,THND_TONNE,2001,174
ZAF,SHEEP,THND_TONNE,2002,173
ZAF,SHEEP,THND_TONNE,2003,169
ZAF,SHEEP,THND_TONNE,2004,173
ZAF,SHEEP,THND_TONNE,2005,175
ZAF,SHEEP,THND_TONNE,2006,187
ZAF,SHEEP,THND_TONNE,2007,163
ZAF,SHEEP,THND_TONNE,2008,197
ZAF,SHEEP,THND_TONNE,2009,194
ZAF,SHEEP,THND_TONNE,2010,184
ZAF,SHEEP,THND_TONNE,2011,173
ZAF,SHEEP,THND_TONNE,2012,183
ZAF,SHEEP,THND_TONNE,2013,184
ZAF,SHEEP,THND_TONNE,2014,189
ZAF,SHEEP,THND_TONNE,2015,192
ZAF,SHEEP,THND_TONNE,2016,189
ZAF,SHEEP,THND_TONNE,2017,188.1758932
ZAF,SHEEP,THND_TONNE,2018,189.3750745
KOR,PIG,THND_TONNE,1991,551.9999192
KOR,PIG,THND_TONNE,1992,748.9999279
KOR,PIG,THND_TONNE,1993,761.9999353
KOR,PIG,THND_TONNE,1994,794.9998931
